,Id,imdbId,primaryTitle,startYear,runtimeMinutes,IMDB Score,Genre
499,499,961109,Bloody Mondays & Strawberry Pies,2008,80,7.5,3
2342,2342,114131,Pie in the Sky,1996,95,5.8,1
1987,1987,384036,Los Debutantes,2003,114,6.2,2
48,48,176093,Return with Honor,1998,101,8.3,3
684,684,116310,Fire on the Mountain,1996,72,7.3,3
3043,3043,291502,Swept Away,2002,89,3.6,1
1632,1632,127723,Can't Hardly Wait,1998,100,6.5,1
2686,2686,150488,B.U.S.T.E.D,1999,97,5.3,2
2122,2122,800240,Deception,2008,107,6.1,2
1156,1156,113497,Jumanji,1995,104,6.9,0
760,760,1646959,Bedevilled,2010,115,7.3,2
1592,1592,2450264,TINY: A Story About Living Small,2013,66,6.6,3
377,377,362225,Tell No One,2006,131,7.6,2
2995,2995,141369,Inspector Gadget,1999,78,4.1,0
1471,1471,1998367,Trailer Park Jesus,2012,80,6.7,1
1927,1927,2151863,The Perfect Wedding,2012,82,6.3,1
1349,1349,1691926,Nice Guy,2012,89,6.8,2
782,782,2504404,Wolf,2013,122,7.3,2
2653,2653,1029231,Krrish 3,2013,152,5.4,0
104,104,1276121,Who Killed Chea Vichea?,2011,56,8.1,3
308,308,1149583,Flow: For Love of Water,2008,93,7.7,3
1106,1106,1319718,Little Big Soldier,2010,96,7.0,0
1388,1388,107455,"Luck, Trust & Ketchup: Robert Altman in Carver Country",1993,90,6.7,3
472,472,283941,Black Box BRD,2001,102,7.5,3
309,309,1183662,Blip Festival: Reformat the Planet,2008,82,7.7,3
255,255,1570101,Grant Morrison: Talking with Gods,2010,80,7.8,3
3088,3088,185183,Battlefield Earth,2000,118,2.4,0
490,490,439682,Lomax the Songhunter,2004,92,7.5,3
2035,2035,2072145,Fanatics,2012,85,6.2,1
713,713,424509,Touch the Sound: A Sound Journey with Evelyn Glennie,2004,99,7.3,3
606,606,1077262,Ajami,2009,124,7.4,2
2527,2527,874423,Zoo,2007,75,5.6,3
1059,1059,105226,Red Rock West,1993,98,7.0,2
1212,1212,1326831,October Country,2009,80,6.9,3
577,577,375912,Layer Cake,2004,105,7.4,2
1843,1843,4651932,Barista,2015,103,6.4,3
516,516,1567736,Secrets of the Tribe,2010,110,7.5,3
1183,1183,384819,Azumi,2003,128,6.9,0
1856,1856,119054,Eight Days a Week,1997,92,6.3,1
1147,1147,4505666,Prescription Thugs,2015,86,7.0,3
1473,1473,2193698,Russia's Toughest Prisons,2011,60,6.7,3
107,107,1825163,The Light Bulb Conspiracy,2010,75,8.1,3
2685,2685,130019,"I Love You, Don't Touch Me!",1997,86,5.3,1
2711,2711,1212436,The Back-up Plan,2010,104,5.3,1
1355,1355,2053339,Brave Hearts: Umizaru,2012,116,6.8,0
46,46,168845,Palms,1994,140,8.3,3
2017,2017,1386926,Double Take,2009,80,6.2,3
1104,1104,1280015,Smash His Camera,2010,87,7.0,3
1121,1121,1529572,Trust,2010,106,7.0,2
1133,1133,2492002,The Homestretch,2014,90,7.0,3
1917,1917,1729211,Men in the City 2,2011,112,6.3,1
2962,2962,1220217,The Legend of Hell's Gate: An American Conspiracy,2011,108,4.4,0
1571,1571,1629705,Blackthorn,2011,102,6.6,0
1970,1970,147599,Thick as Thieves,1999,93,6.2,2
2661,2661,1662514,Jedi Junkies,2010,75,5.4,3
524,524,1884414,Shakespeare High,2011,81,7.5,3
676,676,102288,Let Him Have It,1991,115,7.3,2
2051,2051,3073490,Committed,2014,90,6.2,1
168,168,300140,Lilya 4-Ever,2002,109,7.9,2
877,877,1300854,Iron Man 3,2013,130,7.2,0
967,967,427470,The Lookout,2007,99,7.1,2
1353,1353,1972571,A Most Wanted Man,2014,122,6.8,2
134,134,325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,0
1138,1138,2952634,How Strange to Be Named Federico,2013,90,7.0,3
2620,2620,101725,Diary of a Hitman,1991,90,5.4,2
2482,2482,2994646,Black Coffee,2014,85,5.7,1
2409,2409,3687310,Criminal Activities,2015,94,5.8,2
1257,1257,105450,South Central,1992,98,6.8,2
1017,1017,1611990,Man on a Mission: Richard Garriott's Road to the Stars,2010,83,7.1,3
1235,1235,2238839,Love in the Buff,2012,112,6.9,1
2383,2383,1536410,Faces in the Crowd,2011,103,5.8,2
433,433,1979385,Unlawful Killing,2011,78,7.6,3
2345,2345,132213,Hi-Life,1998,82,5.8,1
2764,2764,859163,The Mummy: Tomb of the Dragon Emperor,2008,112,5.2,0
1098,1098,1155056,"I Love You, Man",2009,105,7.0,1
2325,2325,2296709,Head Over Heels 2,2012,115,5.9,1
1294,1294,403910,Bush's Brain,2004,80,6.8,3
905,905,2385104,D-Day,2013,153,7.2,0
71,71,455913,Bastards of the Party,2005,95,8.2,3
454,454,5278596,Weiner,2016,96,7.6,3
1626,1626,120347,Tomorrow Never Dies,1997,119,6.5,0
1076,1076,367655,Dial H-I-S-T-O-R-Y,1997,68,7.0,3
2752,2752,251057,Double Bang,2001,104,5.2,2
1520,1520,204137,Animal Factory,2000,94,6.6,2
2846,2846,114048,Operation Dumbo Drop,1995,107,4.9,0
1813,1813,1424062,The Thorn in the Heart,2009,86,6.4,3
2720,2720,1920849,Bachelorette,2012,87,5.3,1
2522,2522,490084,Because I Said So,2007,102,5.6,1
1208,1208,1186238,The Matador,2008,74,6.9,3
1168,1168,237993,101 Reykjav???k,2000,88,6.9,1
2911,2911,1071203,Reflections,2008,100,4.7,2
453,453,4936450,Graduation,2016,128,7.6,2
2745,2745,163579,Chill Factor,1999,102,5.2,0
2359,2359,327437,Around the World in 80 Days,2004,120,5.8,0
1123,1123,1663662,Pacific Rim,2013,131,7.0,0
1287,1287,343660,50 First Dates,2004,99,6.8,1
100,100,1109523,Tapestries of Hope,2009,78,8.1,3
125,125,99028,American Dream,1990,98,8.0,3
268,268,114704,The Deathmaker,1995,110,7.7,2
2930,2930,2145829,Robot Overlords,2014,90,4.6,0
1487,1487,3715406,Atari: Game Over,2014,66,6.7,3
602,602,1002540,9 Star Hotel,2006,78,7.4,3
2216,2216,871426,Baby Mama,2008,99,6.0,1
1757,1757,216750,Total western,2000,84,6.4,2
1977,1977,253556,Reign of Fire,2002,101,6.2,0
720,720,473697,Satan??­s,2007,95,7.3,2
2155,2155,1885331,Paris-Manhattan,2012,77,6.1,1
1096,1096,948470,The Amazing Spider-Man,2012,136,7.0,0
2465,2465,1540128,Playing for Keeps,2012,105,5.7,1
925,925,4974684,Kara Bela,2015,105,7.2,0
678,678,105859,Dragon Inn,1992,88,7.3,0
2331,2331,3608646,Mythica: The Necromancer,2015,93,5.9,0
3009,3009,115715,The Bloody Child,1996,85,3.9,2
213,213,106489,A Bronx Tale,1993,121,7.8,2
423,423,1725995,Hello Stranger,2010,130,7.6,1
1416,1416,300620,So Close,2002,111,6.7,0
2045,2045,2509850,The Rewrite,2014,107,6.2,1
